 budget ,id,popularity,production_companies,release_date, revenue ,runtime,title,vote_average,vote_count,ROI,Dollar_per_point,,min_rating,max_rating,Vote_avg_avg
" $28,000,000.00 ",812,92.982009,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}]",11/25/1992," $504,050,219.00 ",90,Aladdin,7.4,3416,1800.18%," $3,783,783.78 ",,4.4,8.5,6.7762
" $32,350,000.00 ",1892,46.509071,"[{""name"": ""Lucasfilm"", ""id"": 1}, {""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}]",5/23/1983," $572,700,000.00 ",135,Return of the Jedi,7.9,4665,1770.32%," $4,094,936.71 ",,,,
" $25,000,000.00 ",788,30.884535,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Blue Wolf"", ""id"": 10230}]",11/24/1993," $441,286,195.00 ",125,Mrs. Doubtfire,7,1591,1765.14%," $3,571,428.57 ",,max_budget,min_budget,avg_budget
" $45,000,000.00 ",8587,90.457886,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Walt Disney Feature Animation"", ""id"": 10217}]",6/23/1994," $788,241,776.00 ",89,The Lion King,8,5376,1751.65%," $5,625,000.00 ",," $380,000,000.00 "," $19,000,000.00 "," $98,759,500.01 "
" $40,000,000.00 ",745,73.085576,"[{""name"": ""Spyglass Entertainment"", ""id"": 158}, {""name"": ""The Kennedy/Marshall Company"", ""id"": 862}, {""name"": ""Hollywood Pictures"", ""id"": 915}, {""name"": ""Barry Mendel Productions"", ""id"": 17032}]",8/6/1999," $672,806,292.00 ",107,The Sixth Sense,7.7,3147,1682.02%," $5,194,805.19 ",,,,
" $25,000,000.00 ",380,49.510658,"[{""name"": ""United Artists"", ""id"": 60}, {""name"": ""Star Partners II Ltd."", ""id"": 206}]",12/11/1988," $412,800,000.00 ",133,Rain Man,7.6,1709,1651.20%," $3,289,473.68 ",,max_dollar_per_point,min_dollar_per_point,avg_dollar_per_point
" $23,000,000.00 ",544,57.110486,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}]",7/15/1998," $369,884,651.00 ",119,There's Something About Mary,6.5,1590,1608.19%," $3,538,461.54 ",," $59,375,000.00 "," $2,345,679.01 "," $14,951,133.04 "
" $74,000,000.00 ",211672,875.581305,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Illumination Entertainment"", ""id"": 6704}]",6/17/2015," $1,156,730,962.00 ",91,Minions,6.4,4571,1563.15%," $11,562,500.00 ",,,,
" $23,000,000.00 ",854,85.30318,"[{""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""Dark Horse Entertainment"", ""id"": 552}]",7/29/1994," $351,583,407.00 ",101,The Mask,6.6,2472,1528.62%," $3,484,848.48 ",,,,
" $22,000,000.00 ",424,104.469351,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Amblin Entertainment"", ""id"": 56}]",11/29/1993," $321,365,567.00 ",195,Schindler's List,8.3,4329,1460.75%," $2,650,602.41 ",,,,
